ISO6393	Status	Pop.Size	simp.status
dth	Dormant ()	NA	dormant
soh	"Endangered (20 percent certain, based on the evidence available)"	NA	endangered
acz	"Vulnerable (20 percent certain, based on the evidence available)"	"70,000"	vulnerable
ale	"Endangered (20 percent certain, based on the evidence available)"	70	endangered
nfl	"Vulnerable (100 percent certain, based on the evidence available)"	"7,926"	vulnerable
adn	"Endangered (100 percent certain, based on the evidence available)"	"7,000"	endangered
acr	"Vulnerable (20 percent certain, based on the evidence available)"	"51,593"	vulnerable
knj	"Threatened (20 percent certain, based on the evidence available)"	"5,572"	threatened
"sant1448, sant1450"	"Threatened (80 percent certain, based on the evidence available)"	"5,500"	threatened
acu	"Threatened (20 percent certain, based on the evidence available)"	"5,443"	threatened
abq; abaz1241	"Vulnerable (20 percent certain, based on the evidence available)"	"47,880"	vulnerable
tiu	"Threatened (40 percent certain, based on the evidence available)"	"4,000"	threatened
abp	"Threatened (20 percent certain, based on the evidence available)"	"3,500"	threatened
aug	"Threatened (20 percent certain, based on the evidence available)"	"3,470"	threatened
adz	"Vulnerable (20 percent certain, based on the evidence available)"	"28,900"	vulnerable
gah	"Vulnerable (20 percent certain, based on the evidence available)"	"25,000"	vulnerable
muc	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
aim	"Endangered (40 percent certain, based on the evidence available)"	"2,640"	endangered
aah	"Threatened (60 percent certain, based on the evidence available)"	"2,560"	threatened
ado	"Threatened (20 percent certain, based on the evidence available)"	"2,347"	threatened
abz	"Threatened (100 percent certain, based on the evidence available)"	"16,000"	threatened
adi	"At risk (20 percent certain, based on the evidence available)"	100190	at_risk
agr	"Vulnerable (20 percent certain, based on the evidence available)"	55000	vulnerable
cat-alg	"Vulnerable (60 percent certain, based on the evidence available)"	20000	vulnerable
agx	"Threatened (40 percent certain, based on the evidence available)"	18000	threatened
knw	"Vulnerable (20 percent certain, based on the evidence available)"	16000	vulnerable
ala	"Vulnerable (20 percent certain, based on the evidence available)"	15000	vulnerable
aib	"Threatened (60 percent certain, based on the evidence available)"	12000	threatened
wbj	"Threatened (60 percent certain, based on the evidence available)"	10000	threatened
aau	"Threatened (60 percent certain, based on the evidence available)"	7000	threatened
aeu	"Threatened (20 percent certain, based on the evidence available)"	5000	threatened
akv	"Threatened (60 percent certain, based on the evidence available)"	5000	threatened
kjq	"Threatened (20 percent certain, based on the evidence available)"	4000	threatened
aft	"Endangered (60 percent certain, based on the evidence available)"	4000	endangered
kgr	"Threatened (20 percent certain, based on the evidence available)"	3000	threatened
aik	"Vulnerable (60 percent certain, based on the evidence available)"	2000	vulnerable
con	"Vulnerable (100 percent certain, based on the evidence available)"	1500	vulnerable
amp	"Threatened (20 percent certain, based on the evidence available)"	1200	threatened
axam1237	"Endangered (100 percent certain, based on the evidence available)"	968	endangered
ymo	"Endangered (20 percent certain, based on the evidence available)"	819	endangered
miw	"Endangered (20 percent certain, based on the evidence available)"	800	endangered
aif	"Endangered (20 percent certain, based on the evidence available)"	670	endangered
"afk, afp"	"Endangered (20 percent certain, based on the evidence available)"	633	endangered
aki	"Endangered (20 percent certain, based on the evidence available)"	620	endangered
aku	"Endangered (20 percent certain, based on the evidence available)"	600	endangered
bpk	"Endangered (20 percent certain, based on the evidence available)"	590	endangered
abf	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
5qc	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
nog-tat	"Threatened (100 percent certain, based on the evidence available)"	400	threatened
all	"Endangered (20 percent certain, based on the evidence available)"	350	endangered
ahn	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
aca	"Endangered (20 percent certain, based on the evidence available)"	283	endangered
akz	"Endangered (20 percent certain, based on the evidence available)"	250	endangered
mmq	"Endangered (60 percent certain, based on the evidence available)"	250	endangered
guq	"Severely Endangered (60 percent certain, based on the evidence available)"	200	severely_endangered
aeq	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
aja	"Endangered (20 percent certain, based on the evidence available)"	200	endangered
tba	"Vulnerable (80 percent certain, based on the evidence available)"	175	vulnerable
syy	"Endangered (20 percent certain, based on the evidence available)"	150	endangered
ail	"Endangered (20 percent certain, based on the evidence available)"	140	endangered
ulf	"Threatened (60 percent certain, based on the evidence available)"	115	threatened
aic	"Endangered (40 percent certain, based on the evidence available)"	110	endangered
adt	"Endangered (20 percent certain, based on the evidence available)"	100	endangered
akq	"Severely Endangered (80 percent certain, based on the evidence available)"	80	severely_endangered
bsa; abin1243	"Critically Endangered (40 percent certain, based on the evidence available)"	50	critically_endangered
ads	"Threatened (100 percent certain, based on the evidence available)"	35	threatened
aht	"Critically Endangered (100 percent certain, based on the evidence available)"	30	critically_endangered
taa	"Critically Endangered (80 percent certain, based on the evidence available)"	25	critically_endangered
alh	"Critically Endangered (60 percent certain, based on the evidence available)"	17	critically_endangered
aob	"Critically Endangered (60 percent certain, based on the evidence available)"	15	critically_endangered
acv	"Critically Endangered (60 percent certain, based on the evidence available)"	10	critically_endangered
abg; abag1245	"Critically Endangered (80 percent certain, based on the evidence available)"	5	critically_endangered
aqz	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
aid	"Critically Endangered (20 percent certain, based on the evidence available)"	3	critically_endangered
ain	"Critically Endangered (80 percent certain, based on the evidence available)"	2	critically_endangered
wmi	"Critically Endangered (80 percent certain, based on the evidence available)"	1	critically_endangered
sia	"Critically Endangered (60 percent certain, based on the evidence available)"	1	critically_endangered
aas	Dormant 	0	dormant
avo	Dormant ()	0	dormant
gtu	Dormant ()	0	dormant
akm	Dormant ()		dormant
ack	Dormant ()		dormant
ako			
1kt	"Threatened (20 percent certain, based on the evidence available)"		threatened
			
qvm	"Vulnerable (60 percent certain, based on the evidence available)"	"83,400"	vulnerable
dia	"Threatened (20 percent certain, based on the evidence available)"	"1,880"	threatened
xua	"Threatened (20 percent certain, based on the evidence available)"	"~1,000"	threatened
alp	"Vulnerable (20 percent certain, based on the evidence available)"	"12,000"	vulnerable
yna	"Endangered (40 percent certain, based on the evidence available)"	"<40,000"	endangered
ems	"Severely Endangered (80 percent certain, based on the evidence available)"	200	severely_endangered
alr	"Severely Endangered (80 percent certain, based on the evidence available)"	"<2,000"	severely_endangered
avd	"Severely Endangered (20 percent certain, based on the evidence available)"		severely_endangered
aly	"Vulnerable (100 percent certain, based on the evidence available)"	"1,664"	vulnerable
amm	"Vulnerable (60 percent certain, based on the evidence available)"	450	vulnerable
amq	"Critically Endangered (40 percent certain, based on the evidence available)"	50	critically_endangered
amc			
aad	"Endangered (20 percent certain, based on the evidence available)"	388	endangered
"kzg, xug, ryn, okn, ams, tkn, yox"	"Severely Endangered (100 percent certain, based on the evidence available)"	"~37,000"	severely_endangered
amn	"Threatened (20 percent certain, based on the evidence available)"	"3,500"	threatened
ama			
aie	"Endangered (100 percent certain, based on the evidence available)"	<231	endangered
aaz	"Vulnerable (20 percent certain, based on the evidence available)"	"70,000"	vulnerable
"amat1238, coat1244"			
aew	"Endangered (80 percent certain, based on the evidence available)"	770	endangered
ael	"Vulnerable (100 percent certain, based on the evidence available)"	"3,600"	vulnerable
"abt, wos"	"Vulnerable (20 percent certain, based on the evidence available)"	"33,000"	vulnerable
amj	"Threatened (60 percent certain, based on the evidence available)"		threatened
aqd	"Threatened (20 percent certain, based on the evidence available)"	"5,200"	threatened
law-amp	"Threatened (40 percent certain, based on the evidence available)"	"6,000"	threatened
amt	"Endangered (20 percent certain, based on the evidence available)"	230	endangered
ame			
1ot	"Severely Endangered (80 percent certain, based on the evidence available)"	<500	severely_endangered
amg	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
anw	"Vulnerable (40 percent certain, based on the evidence available)"	"733,040"	vulnerable
akg	"Vulnerable (20 percent certain, based on the evidence available)"	">25,000"	vulnerable
anm	"Endangered (40 percent certain, based on the evidence available)"		endangered
pda	"Threatened (20 percent certain, based on the evidence available)"	"1,070"	threatened
aan	Dormant ()	NA	dormant
ajn	"Critically Endangered (20 percent certain, based on the evidence available)"	2	critically_endangered
aod	"Endangered (20 percent certain, based on the evidence available)"	830	endangered
mrp	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
ani	"Vulnerable (60 percent certain, based on the evidence available)"	10000	vulnerable
bzb	"Threatened (40 percent certain, based on the evidence available)"	"1,700"	threatened
anb	Dormant ()	NA	dormant
ano			
	"Endangered (20 percent certain, based on the evidence available)"	900	endangered
anz	"Endangered (20 percent certain, based on the evidence available)"	843	endangered
myo	"Endangered (20 percent certain, based on the evidence available)"	~500	endangered
aqt	"Severely Endangered (100 percent certain, based on the evidence available)"	780	severely_endangered
agg	"Threatened (20 percent certain, based on the evidence available)"	"1,250"	threatened
"aog, myd"	"Threatened (20 percent certain, based on the evidence available)"	"6,514"	threatened
blo	"Vulnerable (100 percent certain, based on the evidence available)"	"<25,000"	vulnerable
anf	"Severely Endangered (60 percent certain, based on the evidence available)"	30	severely_endangered
aoi	"Threatened (20 percent certain, based on the evidence available)"	"~1,500"	threatened
amx	"Threatened (80 percent certain, based on the evidence available)"	501	threatened
nun	"Critically Endangered (100 percent certain, based on the evidence available)"	~ 4040	critically_endangered
anj	"Endangered (20 percent certain, based on the evidence available)"	450	endangered
