LanguageName	Pop.Size.Clean	ISO6393
English	1077000000	eng
Mandarin Chinese	1138000000	cmn
Hindi	610000000	hin
Spanish	559000000	spa
French	310000000	fra
Modern Standard Arabic	274000000	arb
Bengali	273000000	ben
Portuguese	264000000	por
Russian	255000000	rus
Urdu	232000000	urd
Indonesian	199000000	ind
Standard German	133000000	deu
Japanese	123000000	jpn
Nigerian Pidgin	121000000	pcm
Egyptian Arabic	102000000	arz
Marathi	99000000	mar
Telugu	96000000	tel
Turkish	90000000	tur
Tamil	87000000	tam
Yue Chinese	87000000	yue
Vietnamese	86000000	vie
Wu Chinese	83000000	wuu
Tagalog	83000000	tgl
Korean	82000000	kor
Iranian Persian	79000000	pes
Hausa	79000000	hau
Swahili	72000000	swh
Javanese	68000000	jav
Italian	68000000	ita
Western Punjabi	67000000	NA
Gujarati	62000000	guj
Thai	61000000	tha
Kannada	59000000	kan
Amharic	58000000	amh
Bhojpuri	52000000	bho
Eastern Punjabi	52000000	pan
Min Nan Chinese	50000000	nan
Jin Chinese	48000000	NA
Levantine Arabic	48000000	NA
Yoruba	46000000	yor
